iter	Passed	Remaining
0	4	881
1	8	867
2	12	837
3	16	812
4	20	785
5	23	764
6	27	755
7	30	742
8	34	739
9	39	742
10	43	745
11	47	747
12	52	757
13	56	752
14	60	751
15	64	740
16	67	731
17	72	728
18	75	722
19	80	721
20	84	722
21	88	714
22	93	719
23	96	710
24	100	705
25	105	705
26	109	703
27	114	701
28	118	698
29	122	696
30	126	690
31	131	688
32	136	689
33	141	691
34	145	686
35	150	686
36	155	683
37	160	684
38	164	680
39	170	680
40	174	678
41	179	673
42	183	669
43	187	663
44	190	657
45	195	653
46	199	648
47	203	643
48	207	640
49	212	636
50	216	633
51	220	626
52	224	622
53	227	616
54	231	610
55	236	607
56	240	603
57	244	598
58	248	594
59	252	589
60	256	584
61	260	579
62	264	574
63	267	569
64	271	564
65	275	558
66	279	554
67	284	551
68	287	546
69	292	543
70	297	540
71	301	536
72	306	533
73	310	528
74	326	544
75	333	543
76	340	543
77	348	545
78	368	564
79	377	566
80	384	565
81	389	559
82	392	553
83	397	549
84	401	542
85	405	537
86	409	531
87	414	527
88	418	522
89	423	517
90	427	511
91	431	506
92	434	500
93	439	495
94	442	489
95	447	484
96	450	478
97	454	472
98	458	467
99	463	463
100	467	457
101	471	453
102	475	447
103	480	443
104	483	437
105	487	432
106	492	427
107	496	423
108	501	418
109	505	413
110	509	408
111	514	403
112	517	398
113	522	393
114	526	388
115	529	383
116	533	378
117	537	373
118	541	368
119	545	363
120	549	358
121	553	353
122	557	348
123	561	343
124	564	338
125	568	333
126	572	328
127	576	324
128	580	319
129	583	314
130	588	309
131	592	305
132	596	300
133	600	295
134	604	291
135	608	286
136	612	281
137	615	276
138	619	272
139	623	267
140	627	262
141	631	258
142	636	253
143	640	248
144	644	244
145	649	240
146	654	236
147	660	231
148	663	227
149	668	222
150	672	218
151	676	213
152	680	209
153	683	204
154	688	199
155	692	195
156	695	190
157	699	185
158	703	181
159	706	176
160	710	172
161	715	167
162	720	163
163	725	159
164	730	154
165	734	150
166	738	145
167	741	141
168	746	136
169	750	132
170	754	127
171	758	123
172	762	118
173	766	114
174	769	109
175	773	105
176	779	101
177	784	96
178	789	92
179	794	88
180	798	83
181	803	79
182	806	74
183	810	70
184	814	66
185	818	61
186	822	57
187	826	52
188	830	48
189	834	43
190	838	39
191	843	35
192	847	30
193	852	26
194	856	21
195	861	17
196	865	13
197	869	8
198	874	4
199	879	0
